CD1, CD2, CD12, DESCRIPTION1, DESCRIPTION2, DESCRIPTION3
F334,1,F3341,"Major depressive disorder, recurrent, in partial remission","Major depressive disorder, recurrent, in partial remission","Major depressive disorder, recurrent, in remission"
F334,2,F3342,"Major depressive disorder, recurrent, in full remission","Major depressive disorder, recurrent, in full remission","Major depressive disorder, recurrent, in remission"
F338,,F338,"Other recurrent depressive disorders","Other recurrent depressive disorders","Other recurrent depressive disorders"
F339,,F339,"Major depressive disorder, recurrent, unspecified","Major depressive disorder, recurrent, unspecified","Major depressive disorder, recurrent, unspecified"
F34,0,F340,"Cyclothymic disorder","Cyclothymic disorder","Persistent mood [affective] disorders"
F34,1,F341,"Dysthymic disorder","Dysthymic disorder","Persistent mood [affective] disorders"
F348,1,F3481,"Disruptive mood dysregulation disorder","Disruptive mood dysregulation disorder","Other persistent mood [affective] disorders"
F348,9,F3489,"Other specified persistent mood disorders","Other specified persistent mood disorders","Other persistent mood [affective] disorders"
F349,,F349,"Persistent mood [affective] disorder, unspecified","Persistent mood [affective] disorder, unspecified","Persistent mood [affective] disorder, unspecified"
F39,,F39,"Unspecified mood [affective] disorder","Unspecified mood [affective] disorder","Unspecified mood [affective] disorder"
F400,0,F4000,"Agoraphobia, unspecified","Agoraphobia, unspecified","Agoraphobia"
F400,1,F4001,"Agoraphobia with panic disorder","Agoraphobia with panic disorder","Agoraphobia"
F400,2,F4002,"Agoraphobia without panic disorder","Agoraphobia without panic disorder","Agoraphobia"
F401,0,F4010,"Social phobia, unspecified","Social phobia, unspecified","Social phobias"
F401,1,F4011,"Social phobia, generalized","Social phobia, generalized","Social phobias"
F4021,0,F40210,"Arachnophobia","Arachnophobia","Animal type phobia"
F4021,8,F40218,"Other animal type phobia","Other animal type phobia","Animal type phobia"
F4022,0,F40220,"Fear of thunderstorms","Fear of thunderstorms","Natural environment type phobia"
F4022,8,F40228,"Other natural environment type phobia","Other natural environment type phobia","Natural environment type phobia"
F4023,0,F40230,"Fear of blood","Fear of blood","Blood, injection, injury type phobia"
F4023,1,F40231,"Fear of injections and transfusions","Fear of injections and transfusions","Blood, injection, injury type phobia"
F4023,2,F40232,"Fear of other medical care","Fear of other medical care","Blood, injection, injury type phobia"
F4023,3,F40233,"Fear of injury","Fear of injury","Blood, injection, injury type phobia"
F4024,0,F40240,"Claustrophobia","Claustrophobia","Situational type phobia"
F4024,1,F40241,"Acrophobia","Acrophobia","Situational type phobia"
F4024,2,F40242,"Fear of bridges","Fear of bridges","Situational type phobia"
F4024,3,F40243,"Fear of flying","Fear of flying","Situational type phobia"
F4024,8,F40248,"Other situational type phobia","Other situational type phobia","Situational type phobia"
F4029,0,F40290,"Androphobia","Androphobia","Other specified phobia"
F4029,1,F40291,"Gynephobia","Gynephobia","Other specified phobia"
F4029,8,F40298,"Other specified phobia","Other specified phobia","Other specified phobia"
F408,,F408,"Other phobic anxiety disorders","Other phobic anxiety disorders","Other phobic anxiety disorders"
F409,,F409,"Phobic anxiety disorder, unspecified","Phobic anxiety disorder, unspecified","Phobic anxiety disorder, unspecified"
F41,0,F410,"Panic disorder [episodic paroxysmal anxiety]","Panic disorder [episodic paroxysmal anxiety]","Other anxiety disorders"
F41,1,F411,"Generalized anxiety disorder","Generalized anxiety disorder","Other anxiety disorders"
F41,3,F413,"Other mixed anxiety disorders","Other mixed anxiety disorders","Other anxiety disorders"
F41,8,F418,"Other specified anxiety disorders","Other specified anxiety disorders","Other anxiety disorders"
F41,9,F419,"Anxiety disorder, unspecified","Anxiety disorder, unspecified","Other anxiety disorders"
F42,2,F422,"Mixed obsessional thoughts and acts","Mixed obsessional thoughts and acts","Obsessive-compulsive disorder"
F42,3,F423,"Hoarding disorder","Hoarding disorder","Obsessive-compulsive disorder"
F42,4,F424,"Excoriation (skin-picking) disorder","Excoriation (skin-picking) disorder","Obsessive-compulsive disorder"
F42,8,F428,"Other obsessive-compulsive disorder","Other obsessive-compulsive disorder","Obsessive-compulsive disorder"
F42,9,F429,"Obsessive-compulsive disorder, unspecified","Obsessive-compulsive disorder, unspecified","Obsessive-compulsive disorder"
F43,0,F430,"Acute stress reaction","Acute stress reaction","Reaction to severe stress, and adjustment disorders"
F431,0,F4310,"Post-traumatic stress disorder, unspecified","Post-traumatic stress disorder, unspecified","Post-traumatic stress disorder (PTSD)"
F431,1,F4311,"Post-traumatic stress disorder, acute","Post-traumatic stress disorder, acute","Post-traumatic stress disorder (PTSD)"
F431,2,F4312,"Post-traumatic stress disorder, chronic","Post-traumatic stress disorder, chronic","Post-traumatic stress disorder (PTSD)"
F432,0,F4320,"Adjustment disorder, unspecified","Adjustment disorder, unspecified","Adjustment disorders"
F432,1,F4321,"Adjustment disorder with depressed mood","Adjustment disorder with depressed mood","Adjustment disorders"
F432,2,F4322,"Adjustment disorder with anxiety","Adjustment disorder with anxiety","Adjustment disorders"
F432,3,F4323,"Adjustment disorder with mixed anxiety and depressed mood","Adjustment disorder with mixed anxiety and depressed mood","Adjustment disorders"
F432,4,F4324,"Adjustment disorder with disturbance of conduct","Adjustment disorder with disturbance of conduct","Adjustment disorders"
F432,5,F4325,"Adjustment disorder w mixed disturb of emotions and conduct","Adjustment disorder with mixed disturbance of emotions and conduct","Adjustment disorders"
F432,9,F4329,"Adjustment disorder with other symptoms","Adjustment disorder with other symptoms","Adjustment disorders"
F438,,F438,"Other reactions to severe stress","Other reactions to severe stress","Other reactions to severe stress"
F439,,F439,"Reaction to severe stress, unspecified","Reaction to severe stress, unspecified","Reaction to severe stress, unspecified"
F44,0,F440,"Dissociative amnesia","Dissociative amnesia","Dissociative and conversion disorders"
F44,1,F441,"Dissociative fugue","Dissociative fugue","Dissociative and conversion disorders"
F44,2,F442,"Dissociative stupor","Dissociative stupor","Dissociative and conversion disorders"
F44,4,F444,"Conversion disorder with motor symptom or deficit","Conversion disorder with motor symptom or deficit","Dissociative and conversion disorders"
F44,5,F445,"Conversion disorder with seizures or convulsions","Conversion disorder with seizures or convulsions","Dissociative and conversion disorders"
F44,6,F446,"Conversion disorder with sensory symptom or deficit","Conversion disorder with sensory symptom or deficit","Dissociative and conversion disorders"
F44,7,F447,"Conversion disorder with mixed symptom presentation","Conversion disorder with mixed symptom presentation","Dissociative and conversion disorders"
F448,1,F4481,"Dissociative identity disorder","Dissociative identity disorder","Other dissociative and conversion disorders"
F448,9,F4489,"Other dissociative and conversion disorders","Other dissociative and conversion disorders","Other dissociative and conversion disorders"
F449,,F449,"Dissociative and conversion disorder, unspecified","Dissociative and conversion disorder, unspecified","Dissociative and conversion disorder, unspecified"
F45,0,F450,"Somatization disorder","Somatization disorder","Somatoform disorders"
F45,1,F451,"Undifferentiated somatoform disorder","Undifferentiated somatoform disorder","Somatoform disorders"
F452,0,F4520,"Hypochondriacal disorder, unspecified","Hypochondriacal disorder, unspecified","Hypochondriacal disorders"
F452,1,F4521,"Hypochondriasis","Hypochondriasis","Hypochondriacal disorders"
F452,2,F4522,"Body dysmorphic disorder","Body dysmorphic disorder","Hypochondriacal disorders"
F452,9,F4529,"Other hypochondriacal disorders","Other hypochondriacal disorders","Hypochondriacal disorders"
F454,1,F4541,"Pain disorder exclusively related to psychological factors","Pain disorder exclusively related to psychological factors","Pain disorders related to psychological factors"
F454,2,F4542,"Pain disorder with related psychological factors","Pain disorder with related psychological factors","Pain disorders related to psychological factors"
F458,,F458,"Other somatoform disorders","Other somatoform disorders","Other somatoform disorders"
F459,,F459,"Somatoform disorder, unspecified","Somatoform disorder, unspecified","Somatoform disorder, unspecified"
F48,1,F481,"Depersonalization-derealization syndrome","Depersonalization-derealization syndrome","Other nonpsychotic mental disorders"
F48,2,F482,"Pseudobulbar affect","Pseudobulbar affect","Other nonpsychotic mental disorders"
F48,8,F488,"Other specified nonpsychotic mental disorders","Other specified nonpsychotic mental disorders","Other nonpsychotic mental disorders"
F48,9,F489,"Nonpsychotic mental disorder, unspecified","Nonpsychotic mental disorder, unspecified","Other nonpsychotic mental disorders"
F500,0,F5000,"Anorexia nervosa, unspecified","Anorexia nervosa, unspecified","Anorexia nervosa"
F500,1,F5001,"Anorexia nervosa, restricting type","Anorexia nervosa, restricting type","Anorexia nervosa"
F500,2,F5002,"Anorexia nervosa, binge eating/purging type","Anorexia nervosa, binge eating/purging type","Anorexia nervosa"
F502,,F502,"Bulimia nervosa","Bulimia nervosa","Bulimia nervosa"
F508,1,F5081,"Binge eating disorder","Binge eating disorder","Other eating disorders"
F508,2,F5082,"Avoidant/restrictive food intake disorder","Avoidant/restrictive food intake disorder","Other eating disorders"
F508,9,F5089,"Other specified eating disorder","Other specified eating disorder","Other eating disorders"
F509,,F509,"Eating disorder, unspecified","Eating disorder, unspecified","Eating disorder, unspecified"
F510,1,F5101,"Primary insomnia","Primary insomnia","Insomnia not due to a substance or known physiological condition"
F510,2,F5102,"Adjustment insomnia","Adjustment insomnia","Insomnia not due to a substance or known physiological condition"
F510,3,F5103,"Paradoxical insomnia","Paradoxical insomnia","Insomnia not due to a substance or known physiological condition"
F510,4,F5104,"Psychophysiologic insomnia","Psychophysiologic insomnia","Insomnia not due to a substance or known physiological condition"
F510,5,F5105,"Insomnia due to other mental disorder","Insomnia due to other mental disorder","Insomnia not due to a substance or known physiological condition"
F510,9,F5109,"Oth insomnia not due to a substance or known physiol cond","Other insomnia not due to a substance or known physiological condition","Insomnia not due to a substance or known physiological condition"
F511,1,F5111,"Primary hypersomnia","Primary hypersomnia","Hypersomnia not due to a substance or known physiological condition"
F511,2,F5112,"Insufficient sleep syndrome","Insufficient sleep syndrome","Hypersomnia not due to a substance or known physiological condition"
F511,3,F5113,"Hypersomnia due to other mental disorder","Hypersomnia due to other mental disorder","Hypersomnia not due to a substance or known physiological condition"
F511,9,F5119,"Oth hypersomnia not due to a substance or known physiol cond","Other hypersomnia not due to a substance or known physiological condition","Hypersomnia not due to a substance or known physiological condition"
F513,,F513,"Sleepwalking [somnambulism]","Sleepwalking [somnambulism]","Sleepwalking [somnambulism]"
F514,,F514,"Sleep terrors [night terrors]","Sleep terrors [night terrors]","Sleep terrors [night terrors]"
F515,,F515,"Nightmare disorder","Nightmare disorder","Nightmare disorder"
F518,,F518,"Oth sleep disord not due to a sub or known physiol cond","Other sleep disorders not due to a substance or known physiological condition","Other sleep disorders not due to a substance or known physiological condition"
F519,,F519,"Sleep disorder not due to a sub or known physiol cond, unsp","Sleep disorder not due to a substance or known physiological condition, unspecified","Sleep disorder not due to a substance or known physiological condition, unspecified"
F52,0,F520,"Hypoactive sexual desire disorder","Hypoactive sexual desire disorder","Sexual dysfunction not due to a substance or known physiological condition"
F52,1,F521,"Sexual aversion disorder","Sexual aversion disorder","Sexual dysfunction not due to a substance or known physiological condition"
F522,1,F5221,"Male erectile disorder","Male erectile disorder","Sexual arousal disorders"
F522,2,F5222,"Female sexual arousal disorder","Female sexual arousal disorder","Sexual arousal disorders"
F523,1,F5231,"Female orgasmic disorder","Female orgasmic disorder","Orgasmic disorder"
F523,2,F5232,"Male orgasmic disorder","Male orgasmic disorder","Orgasmic disorder"
F524,,F524,"Premature ejaculation","Premature ejaculation","Premature ejaculation"
F525,,F525,"Vaginismus not due to a substance or known physiol condition","Vaginismus not due to a substance or known physiological condition","Vaginismus not due to a substance or known physiological condition"
F526,,F526,"Dyspareunia not due to a substance or known physiol cond","Dyspareunia not due to a substance or known physiological condition","Dyspareunia not due to a substance or known physiological condition"
F528,,F528,"Oth sexual dysfnct not due to a sub or known physiol cond","Other sexual dysfunction not due to a substance or known physiological condition","Other sexual dysfunction not due to a substance or known physiological condition"
F529,,F529,"Unsp sexual dysfnct not due to a sub or known physiol cond","Unspecified sexual dysfunction not due to a substance or known physiological condition","Unspecified sexual dysfunction not due to a substance or known physiological condition"
F53,,F53,"Puerperal psychosis","Puerperal psychosis","Puerperal psychosis"
F54,,F54,"Psych & behavrl factors assoc w disord or dis classd elswhr","Psychological and behavioral factors associated with disorders or diseases classified elsewhere","Psychological and behavioral factors associated with disorders or diseases classified elsewhere"
F55,0,F550,"Abuse of antacids","Abuse of antacids","Abuse of non-psychoactive substances"
F55,1,F551,"Abuse of herbal or folk remedies","Abuse of herbal or folk remedies","Abuse of non-psychoactive substances"
F55,2,F552,"Abuse of laxatives","Abuse of laxatives","Abuse of non-psychoactive substances"
F55,3,F553,"Abuse of steroids or hormones","Abuse of steroids or hormones","Abuse of non-psychoactive substances"
F55,4,F554,"Abuse of vitamins","Abuse of vitamins","Abuse of non-psychoactive substances"
F55,8,F558,"Abuse of other non-psychoactive substances","Abuse of other non-psychoactive substances","Abuse of non-psychoactive substances"
F59,,F59,"Unsp behavrl synd assoc w physiol disturb and physcl factors","Unspecified behavioral syndromes associated with physiological disturbances and physical factors","Unspecified behavioral syndromes associated with physiological disturbances and physical factors"
F60,0,F600,"Paranoid personality disorder","Paranoid personality disorder","Specific personality disorders"
F60,1,F601,"Schizoid personality disorder","Schizoid personality disorder","Specific personality disorders"
F60,2,F602,"Antisocial personality disorder","Antisocial personality disorder","Specific personality disorders"
F60,3,F603,"Borderline personality disorder","Borderline personality disorder","Specific personality disorders"
F60,4,F604,"Histrionic personality disorder","Histrionic personality disorder","Specific personality disorders"
F60,5,F605,"Obsessive-compulsive personality disorder","Obsessive-compulsive personality disorder","Specific personality disorders"
F60,6,F606,"Avoidant personality disorder","Avoidant personality disorder","Specific personality disorders"
F60,7,F607,"Dependent personality disorder","Dependent personality disorder","Specific personality disorders"
F608,1,F6081,"Narcissistic personality disorder","Narcissistic personality disorder","Other specific personality disorders"
F608,9,F6089,"Other specific personality disorders","Other specific personality disorders","Other specific personality disorders"
F609,,F609,"Personality disorder, unspecified","Personality disorder, unspecified","Personality disorder, unspecified"
F63,0,F630,"Pathological gambling","Pathological gambling","Impulse disorders"
F63,1,F631,"Pyromania","Pyromania","Impulse disorders"
F63,2,F632,"Kleptomania","Kleptomania","Impulse disorders"
F63,3,F633,"Trichotillomania","Trichotillomania","Impulse disorders"
F638,1,F6381,"Intermittent explosive disorder","Intermittent explosive disorder","Other impulse disorders"
F638,9,F6389,"Other impulse disorders","Other impulse disorders","Other impulse disorders"
F639,,F639,"Impulse disorder, unspecified","Impulse disorder, unspecified","Impulse disorder, unspecified"
F64,0,F640,"Transsexualism","Transsexualism","Gender identity disorders"
F64,1,F641,"Dual role transvestism","Dual role transvestism","Gender identity disorders"
F64,2,F642,"Gender identity disorder of childhood","Gender identity disorder of childhood","Gender identity disorders"
F64,8,F648,"Other gender identity disorders","Other gender identity disorders","Gender identity disorders"
F64,9,F649,"Gender identity disorder, unspecified","Gender identity disorder, unspecified","Gender identity disorders"
F65,0,F650,"Fetishism","Fetishism","Paraphilias"
F65,1,F651,"Transvestic fetishism","Transvestic fetishism","Paraphilias"
F65,2,F652,"Exhibitionism","Exhibitionism","Paraphilias"
F65,3,F653,"Voyeurism","Voyeurism","Paraphilias"
F65,4,F654,"Pedophilia","Pedophilia","Paraphilias"
F655,0,F6550,"Sadomasochism, unspecified","Sadomasochism, unspecified","Sadomasochism"
F655,1,F6551,"Sexual masochism","Sexual masochism","Sadomasochism"
F655,2,F6552,"Sexual sadism","Sexual sadism","Sadomasochism"
F658,1,F6581,"Frotteurism","Frotteurism","Other paraphilias"
F658,9,F6589,"Other paraphilias","Other paraphilias","Other paraphilias"
F659,,F659,"Paraphilia, unspecified","Paraphilia, unspecified","Paraphilia, unspecified"
F66,,F66,"Other sexual disorders","Other sexual disorders","Other sexual disorders"
F681,0,F6810,"Factitious disorder, unspecified","Factitious disorder, unspecified","Factitious disorder"
F681,1,F6811,"Factitious disorder w predom psych signs and symptoms","Factitious disorder with predominantly psychological signs and symptoms","Factitious disorder"
F681,2,F6812,"Factitious disorder w predom physical signs and symptoms","Factitious disorder with predominantly physical signs and symptoms","Factitious disorder"
F681,3,F6813,"Factitious disord w comb psych and physcl signs and symptoms","Factitious disorder with combined psychological and physical signs and symptoms","Factitious disorder"
F688,,F688,"Other specified disorders of adult personality and behavior","Other specified disorders of adult personality and behavior","Other specified disorders of adult personality and behavior"
F69,,F69,"Unspecified disorder of adult personality and behavior","Unspecified disorder of adult personality and behavior","Unspecified disorder of adult personality and behavior"
F70,,F70,"Mild intellectual disabilities","Mild intellectual disabilities","Mild intellectual disabilities"
F71,,F71,"Moderate intellectual disabilities","Moderate intellectual disabilities","Moderate intellectual disabilities"
F72,,F72,"Severe intellectual disabilities","Severe intellectual disabilities","Severe intellectual disabilities"
F73,,F73,"Profound intellectual disabilities","Profound intellectual disabilities","Profound intellectual disabilities"
F78,,F78,"Other intellectual disabilities","Other intellectual disabilities","Other intellectual disabilities"
F79,,F79,"Unspecified intellectual disabilities","Unspecified intellectual disabilities","Unspecified intellectual disabilities"
F80,0,F800,"Phonological disorder","Phonological disorder","Specific developmental disorders of speech and language"
F80,1,F801,"Expressive language disorder","Expressive language disorder","Specific developmental disorders of speech and language"
F80,2,F802,"Mixed receptive-expressive language disorder","Mixed receptive-expressive language disorder","Specific developmental disorders of speech and language"
F80,4,F804,"Speech and language development delay due to hearing loss","Speech and language development delay due to hearing loss","Specific developmental disorders of speech and language"
F808,1,F8081,"Childhood onset fluency disorder","Childhood onset fluency disorder","Other developmental disorders of speech and language"
F808,2,F8082,"Social pragmatic communication disorder","Social pragmatic communication disorder","Other developmental disorders of speech and language"
F808,9,F8089,"Other developmental disorders of speech and language","Other developmental disorders of speech and language","Other developmental disorders of speech and language"
F809,,F809,"Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified"
F81,0,F810,"Specific reading disorder","Specific reading disorder","Specific developmental disorders of scholastic skills"
F81,2,F812,"Mathematics disorder","Mathematics disorder","Specific developmental disorders of scholastic skills"
F818,1,F8181,"Disorder of written expression","Disorder of written expression","Other developmental disorders of scholastic skills"
F818,9,F8189,"Other developmental disorders of scholastic skills","Other developmental disorders of scholastic skills","Other developmental disorders of scholastic skills"
F819,,F819,"Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified"
F82,,F82,"Specific developmental disorder of motor function","Specific developmental disorder of motor function","Specific developmental disorder of motor function"
F84,0,F840,"Autistic disorder","Autistic disorder","Pervasive developmental disorders"
F84,2,F842,"Rett's syndrome","Rett's syndrome","Pervasive developmental disorders"
F84,3,F843,"Other childhood disintegrative disorder","Other childhood disintegrative disorder","Pervasive developmental disorders"
F84,5,F845,"Asperger's syndrome","Asperger's syndrome","Pervasive developmental disorders"
F84,8,F848,"Other pervasive developmental disorders","Other pervasive developmental disorders","Pervasive developmental disorders"
F84,9,F849,"Pervasive developmental disorder, unspecified","Pervasive developmental disorder, unspecified","Pervasive developmental disorders"
F88,,F88,"Other disorders of psychological development","Other disorders of psychological development","Other disorders of psychological development"
F89,,F89,"Unspecified disorder of psychological development","Unspecified disorder of psychological development","Unspecified disorder of psychological development"
F90,0,F900,"Attn-defct hyperactivity disorder, predom inattentive type","Attention-deficit hyperactivity disorder, predominantly inattentive type","Attention-deficit hyperactivity disorders"
F90,1,F901,"Attn-defct hyperactivity disorder, predom hyperactive type","Attention-deficit hyperactivity disorder, predominantly hyperactive type","Attention-deficit hyperactivity disorders"
F90,2,F902,"Attention-deficit hyperactivity disorder, combined type","Attention-deficit hyperactivity disorder, combined type","Attention-deficit hyperactivity disorders"
F90,8,F908,"Attention-deficit hyperactivity disorder, other type","Attention-deficit hyperactivity disorder, other type","Attention-deficit hyperactivity disorders"
F90,9,F909,"Attention-deficit hyperactivity disorder, unspecified type","Attention-deficit hyperactivity disorder, unspecified type","Attention-deficit hyperactivity disorders"
F91,0,F910,"Conduct disorder confined to family context","Conduct disorder confined to family context","Conduct disorders"
F91,1,F911,"Conduct disorder, childhood-onset type","Conduct disorder, childhood-onset type","Conduct disorders"
F91,2,F912,"Conduct disorder, adolescent-onset type","Conduct disorder, adolescent-onset type","Conduct disorders"
F91,3,F913,"Oppositional defiant disorder","Oppositional defiant disorder","Conduct disorders"
F91,8,F918,"Other conduct disorders","Other conduct disorders","Conduct disorders"
F91,9,F919,"Conduct disorder, unspecified","Conduct disorder, unspecified","Conduct disorders"
F93,0,F930,"Separation anxiety disorder of childhood","Separation anxiety disorder of childhood","Emotional disorders with onset specific to childhood"
F93,8,F938,"Other childhood emotional disorders","Other childhood emotional disorders","Emotional disorders with onset specific to childhood"
F93,9,F939,"Childhood emotional disorder, unspecified","Childhood emotional disorder, unspecified","Emotional disorders with onset specific to childhood"
F94,0,F940,"Selective mutism","Selective mutism","Disorders of social functioning with onset specific to childhood and adolescence"
F94,1,F941,"Reactive attachment disorder of childhood","Reactive attachment disorder of childhood","Disorders of social functioning with onset specific to childhood and adolescence"
F94,2,F942,"Disinhibited attachment disorder of childhood","Disinhibited attachment disorder of childhood","Disorders of social functioning with onset specific to childhood and adolescence"
F94,8,F948,"Other childhood disorders of social functioning","Other childhood disorders of social functioning","Disorders of social functioning with onset specific to childhood and adolescence"
F94,9,F949,"Childhood disorder of social functioning, unspecified","Childhood disorder of social functioning, unspecified","Disorders of social functioning with onset specific to childhood and adolescence"
F95,0,F950,"Transient tic disorder","Transient tic disorder","Tic disorder"
F95,1,F951,"Chronic motor or vocal tic disorder","Chronic motor or vocal tic disorder","Tic disorder"
F95,2,F952,"Tourette's disorder","Tourette's disorder","Tic disorder"
F95,8,F958,"Other tic disorders","Other tic disorders","Tic disorder"
F95,9,F959,"Tic disorder, unspecified","Tic disorder, unspecified","Tic disorder"
F98,0,F980,"Enuresis not due to a substance or known physiol condition","Enuresis not due to a substance or known physiological condition","Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
F98,1,F981,"Encopresis not due to a substance or known physiol condition","Encopresis not due to a substance or known physiological condition","Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
F982,1,F9821,"Rumination disorder of infancy","Rumination disorder of infancy","Other feeding disorders of infancy and childhood"
F982,9,F9829,"Other feeding disorders of infancy and early childhood","Other feeding disorders of infancy and early childhood","Other feeding disorders of infancy and childhood"
F983,,F983,"Pica of infancy and childhood","Pica of infancy and childhood","Pica of infancy and childhood"
F984,,F984,"Stereotyped movement disorders","Stereotyped movement disorders","Stereotyped movement disorders"
F985,,F985,"Adult onset fluency disorder","Adult onset fluency disorder","Adult onset fluency disorder"
F988,,F988,"Oth behav/emotn disord w onset usly occur in chldhd and adol","Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence","Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
F989,,F989,"Unsp behav/emotn disord w onst usly occur in chldhd and adol","Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence","Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
F99,,F99,"Mental disorder, not otherwise specified","Mental disorder, not otherwise specified","Mental disorder, not otherwise specified"
